"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: AVDTNumber";"Trigger Property: ID_VDL";"Trigger Property: SiteUrl";"FlowRunLink";"FlowError"
"08585023289638945671064665902CU174";"Succeeded";"11/6/2023 2:38:41 PM";"11/6/2023 2:38:42 PM";"AVDT-4300-P4-TCM-7500114756-00018";"38702";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023289638945671064665902CU174";"N/A"
"08585023287735129079509448949CU255";"Succeeded";"11/6/2023 2:41:51 PM";"11/6/2023 2:41:52 PM";"AVDT-K461-KT-7500115937-00005";"5634";"https://tecnimont.sharepoint.com/sites/vdm_K461";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023287735129079509448949CU255";"N/A"
"08585023285532216926472155474CU250";"Succeeded";"11/6/2023 2:45:32 PM";"11/6/2023 2:45:32 PM";"AVDT-K511-KT-7500115018-00029";"4455";"https://tecnimont.sharepoint.com/sites/vdm_4191";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023285532216926472155474CU250";"N/A"
"08585023283458053351421521202CU252";"Succeeded";"11/6/2023 2:48:59 PM";"11/6/2023 2:49:00 PM";"AVDT-K439-KT-7500116440-00005";"8903";"https://tecnimont.sharepoint.com/sites/vdm_k439";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023283458053351421521202CU252";"N/A"
"08585023282400611946535815581CU172";"Succeeded";"11/6/2023 2:50:45 PM";"11/6/2023 2:50:45 PM";"AVDT-4300-X4-TCM-7500105613-00481";"9973";"https://tecnimont.sharepoint.com/sites/vdm_43x4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023282400611946535815581CU172";"N/A"
"08585023280007715508819211954CU251";"Succeeded";"11/6/2023 2:54:44 PM";"11/6/2023 2:54:45 PM";"AVDT-K439-KT-7500107154-00114";"1956";"https://tecnimont.sharepoint.com/sites/vdm_k439";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023280007715508819211954CU251";"N/A"
"08585023278273606369427333924CU249";"Succeeded";"11/6/2023 2:57:38 PM";"11/6/2023 2:57:38 PM";"AVDT-4300-P4-TCM-7500105818-00734";"34124";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278273606369427333924CU249";"N/A"
"08585023278271577997132277219CU254";"Succeeded";"11/6/2023 2:57:38 PM";"11/6/2023 2:57:38 PM";"AVDT-4300-P4-TCM-7500105818-00734";"34122";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278271577997132277219CU254";"N/A"
"08585023278270006489682628932CU188";"Succeeded";"11/6/2023 2:57:38 PM";"11/6/2023 2:57:38 PM";"AVDT-4300-P4-TCM-7500105818-00734";"34127";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278270006489682628932CU188";"N/A"
"08585023278269224758364059622CU153";"Succeeded";"11/6/2023 2:57:38 PM";"11/6/2023 2:57:38 PM";"AVDT-4300-P4-TCM-7500105501-00346";"38150";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278269224758364059622CU153";"N/A"
"08585023278262715344624946518CU158";"Succeeded";"11/6/2023 2:57:39 PM";"11/6/2023 2:57:39 PM";"AVDT-4300-P4-TCM-7500105818-00734";"38154";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278262715344624946518CU158";"N/A"
"08585023278240231474096567686CU154";"Succeeded";"11/6/2023 2:57:41 PM";"11/6/2023 2:57:42 PM";"AVDT-4300-P4-TCM-7500105818-00735";"38155";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278240231474096567686CU154";"N/A"
"08585023278140367821811496031CU187";"Succeeded";"11/6/2023 2:57:51 PM";"11/6/2023 2:57:51 PM";"AVDT-K439-KT-7500108818-00045";"4303";"https://tecnimont.sharepoint.com/sites/vdm_k439";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023278140367821811496031CU187";"N/A"
