"FlowId";"DisplayName";"FlowUrl";"Status";"CreatedTime";"ModifiedTime";"SolutionId";"TriggerConnectorType";"TriggerAction";"TriggerUri"
"093ee93f-9d98-4ae2-b11e-4e60ebbce3e2";"VDM 4245 - WRITE EXCEL DATA - BATCH [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/093ee93f-9d98-4ae2-b11e-4e60ebbce3e2/details";"Stopped";"3/18/2022 4:14:03 PM";"11/16/2023 3:12:00 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"39dfaea2-7cca-4e95-9c63-0a0cc12ae0df";"VDM 4245 - ROUTING EXCEL [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/39dfaea2-7cca-4e95-9c63-0a0cc12ae0df/details";"Stopped";"3/18/2022 4:18:11 PM";"11/16/2023 3:11:45 PM";"N/A";"SharePoint";"Request";"N/A"
"c900d21c-d882-403a-bb52-6f1b433952c2";"VDM 4191 - Vendor Correspondence [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/c900d21c-d882-403a-bb52-6f1b433952c2/details";"Stopped";"4/14/2023 3:23:35 PM";"11/16/2023 3:06:19 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"95a48be5-8f48-42f9-a8ef-0d2fc384254e";"VDM 4191 - VDL Changes Propagation [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/95a48be5-8f48-42f9-a8ef-0d2fc384254e/details";"Stopped";"4/14/2023 3:25:22 PM";"11/16/2023 3:06:01 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"6a9fac91-60fe-4d4b-b60e-d4e83fa43c23";"VDM 4191 - VALIDATE EXCEL DATA [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/6a9fac91-60fe-4d4b-b60e-d4e83fa43c23/details";"Stopped";"4/14/2023 3:23:51 PM";"11/16/2023 3:05:47 PM";"N/A";"SharePoint";"GetOnUpdatedFileItems";"N/A"
"94ee038b-f0b9-49b7-b3a0-ddcfd6ba38c9";"VDM 4191 - Planner Tasks Controller V2.0 [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94ee038b-f0b9-49b7-b3a0-ddcfd6ba38c9/details";"Stopped";"4/14/2023 3:25:07 PM";"11/16/2023 3:05:37 PM";"N/A";"Recurrence";"Recurrence";"N/A"
"74e3c88c-b18d-4799-9d40-1b0f09e3c5b4";"VDM 4191 - Document Structure - New VDL Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/74e3c88c-b18d-4799-9d40-1b0f09e3c5b4/details";"Stopped";"4/14/2023 3:25:39 PM";"11/16/2023 3:05:30 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"30a621c1-3e99-4f36-b208-dc1dbeab906b";"VDM 4191 - Delete Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/30a621c1-3e99-4f36-b208-dc1dbeab906b/details";"Stopped";"4/14/2023 3:24:48 PM";"11/16/2023 3:05:24 PM";"N/A";"SharePoint";"GetOnDeletedItems";"N/A"
"f7067f81-3caa-442e-b9b8-98f09a563801";"VDM 4191 - WRITE EXCEL DATA - BATCH [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/f7067f81-3caa-442e-b9b8-98f09a563801/details";"Stopped";"4/14/2023 3:24:28 PM";"11/16/2023 3:04:26 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"e982783f-72d5-41d7-ac8c-b8232fa5e41b";"VDM 4191 - ROUTING EXCEL [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/e982783f-72d5-41d7-ac8c-b8232fa5e41b/details";"Stopped";"4/14/2023 3:24:08 PM";"11/16/2023 3:04:13 PM";"N/A";"SharePoint";"Request";"N/A"
